(Child) ASIN,Title,SKU,Sessions - Total,Page Views - Total,Featured Offer (Buy Box) Percentage,Units Ordered,Units Ordered - B2B,Ordered Product Sales,Ordered Product Sales - B2B,Total Order Items,Total Order Items - B2B
B00U20EGMQ,"P&J Trading Fragrance Oil | Pomegranate Oil 30ml - Candle Scents for Candle Making, Freshie Scents, Soap Making Supplies, Diffuser Oil Scents",FR30POMSL,194,250,0.9955,81,16,718.21,133.86,67,7
B00U20EGT4,P&J Trading Fragrance Oil for Diffusers for Home - Pina Colada 10ml Fragrance Scents for Candle Making - Soap Making Supplies & Car Diffuser Scents,FR10PIC,62,69,0.9688,9,3,44.61,14.67,9,3
B00U20EHNE,"P&J Trading - Sugar Cookie Scented Oil 30ml - Fragrance Oil for Candle Making, Soap Making, Diffuser Oil",FR30SUGSL,139,171,0.9873,29,1,260.53,8.81,29,1
B00U20EHXO,P&J Trading Fragrance Oil for Diffusers for Home - Pomegranate 10ml Fragrance Scents for Candle Making - Soap Making Supplies & Car Diffuser Scents,FR10POM,19,21,1,8,0,39.92,0,8,0
B00U20EJLE,P&J Trading Fragrance Oil for Diffusers for Home - Sugar Cookie 10ml Fragrance Scents for Candle Making - Soap Making Supplies & Car Diffuser Scents,FR10SUG,41,54,1,5,0,24.95,0,5,0
B0155C1QJG,P&J Trading Fragrance Oil for Diffusers for Home - Candy Corn 10ml Fragrance Scents for Candle Making - Soap Making Supplies & Car Diffuser Scents,FR10CAC,10,13,0.2727,1,0,4.99,0,1,0
B0155DY4D0,P&J Trading Fragrance Oil for Diffusers for Home - Coffee Cake 10ml Fragrance Scents for Candle Making - Soap Making Supplies & Car Diffuser Scents,FR10COF,14,16,0.9333,1,0,4.99,0,1,0
B0155G65GQ,P&J Trading Fragrance Oil for Diffusers for Home - Pumpkin Pie 10ml Fragrance Scents for Candle Making - Soap Making Supplies & Car Diffuser Scents,FR10PUP,23,26,0.9615,4,0,19.96,0,4,0
B0155GHOZ2,P&J Trading Fragrance Oil for Diffusers for Home - Winter Mint 10ml Fragrance Scents for Candle Making - Soap Making Supplies & Car Diffuser Scents,FR10WIM,19,23,0.3636,2,0,9.98,0,2,0
B017JCBVAY,"P&J Trading Bakery Set of 6 Fragrance Oils - Pumpkin Pie, Cupcake, Sugar Cookies, Coffee Cake, Snickerdoodle, Gingerbread Candle Scents, Soap Making, Diffuser Oils",FR10BASFBA,2788,3366,0.9954,88,6,1578.27,105.78,88,6
B017JCX9RW,"P&J Trading Fragrance Oil Tranquil Set | Vanilla, Cucumber Melon, Lavender, Amber, Bamboo, and Ocean Breeze Candle Scents for Candle Making, Freshie Scents, Soap Making Supplies, Diffuser Oil Scents",FR10TQSFBA,2391,3056,0.9949,159,3,2799.93,52.89,158,2
B017JFQ1V0,"P&J Trading Fragrance Oil Clean Set | Fresh Cotton, Lemon, Orange, Grapefruit, Fresh Cut Grass, and Eucalyptus Candle Scents for Candle Making",FR10CLSFBA,106,118,1,3,0,50.97,0,3,0
B017JFYR1G,"P&J Trading Fragrance Oils for Diffusers for Home Spice Set Fragrance Scents for Candle Making - Soap Making Supplies - Car Diffuser Scents - Essential Home Gift Set - Apple Cider, Cinnamon & More",FR10SCS,1604,2008,0.999,112,5,1844.48,81.04,112,5
B017JGFXIG,"P&J Trading Fragrance Oil Floral Set | Violet, Rose, Freesia, Jasmine, Lilac, Gardenia, Lily, Woodbine, Azalea, Ylang Ylang, Sweet Pea, Plumeria, Lavender, Bamboo Candle Scents for Candle Making",FR10FL14FBA,1698,2240,0.9938,95,14,3369.22,493.22,94,13
B017JGFXIG,"P&J Trading Fragrance Oil Floral Set | Violet, Rose, Freesia, Jasmine, Lilac, Gardenia, Lily, Woodbine, Azalea, Ylang Ylang, Sweet Pea, Plumeria, Lavender, Bamboo Candle Scents for Candle Making",FR10FLS14,1698,2240,0.9938,11,1,358.78,35.23,11,1
B017WOMPZ4,"P&J Fragrance Oil Pumpkin Pie 30ml - Candle Scents, Soap Scents, Diffuser Oil Scents",FR30PUPFBA,100,128,1,27,0,231.35,0,27,0
B017WOXLZM,"P&J Trading - Winter Mint Scented Oil 30ml - Fragrance Oil for Candle Making, Soap Making, Diffuser Oil",FR30WIMFBA,107,133,1,22,2,197.42,17.62,21,1
B017WPBVI0,"P&J Trading - Coffee Cake Scented Oil 30ml - Fragrance Oil for Candle Making, Soap Making, Diffuser Oil",FR30COFSL,34,38,0.9737,9,0,70.87,0,8,0
B017WPMDKU,"P&J Fragrance Oil - Apple Cider Scent, 30ml",FR30APCFBA,188,206,0.9561,13,0,116.87,0,13,0
B0182S0B32,"P&J Fragrance Oil - Candy Corn Oil 30ml - Candle Scents, Soap Making, Diffuser Oil, Aromatherapy",FR30CACSL,21,24,1,4,0,35.96,0,4,0
B01CPTMFSS,P&J Trading Fragrance Oil for Diffusers for Home - Candy Cane 10ml Fragrance Scents for Candle Making - Soap Making Supplies & Car Diffuser Scents,FR10CDY,14,21,1,3,0,14.97,0,2,0
B01CPUHQFY,P&J Trading Fragrance Oil for Diffusers for Home - Caramel Corn 10ml Fragrance Scents for Candle Making - Soap Making Supplies & Car Diffuser Scents,FR10CAR,24,27,0.96,2,0,9.98,0,2,0
B01CPUVTI4,P&J Trading Fragrance Oil for Diffusers for Home - Cotton Candy 10ml Fragrance Scents for Candle Making - Soap Making Supplies & Car Diffuser Scents,FR10CTT,121,136,0.9852,9,0,44.91,0,9,0
B01CPZN1I0,P&J Trading Fragrance Oil for Diffusers for Home - French Vanilla 10ml Fragrance Scents for Candle Making - Soap Making Supplies & Car Diffuser Scents,FR10FVA,42,53,0.9796,16,0,79.84,0,15,0
B01CRC6S6I,P&J Trading Fragrance Oil for Diffusers for Home - Orchid 10ml Fragrance Scents for Candle Making - Soap Making Supplies & Car Diffuser Scents,FR10OCH,36,48,1,7,0,34.93,0,6,0
B01CRCP0O4,P&J Trading Fragrance Oil for Diffusers for Home - Root Beer 10ml Fragrance Scents for Candle Making - Soap Making Supplies & Car Diffuser Scents,FR10ROO,22,32,1,6,0,29.94,0,6,0
B01CRFO2D6,P&J Trading Fragrance Oil for Diffusers for Home - Smores 10ml Fragrance Scents for Candle Making - Soap Making Supplies & Car Diffuser Scents,FR10SMO,17,21,0.7059,2,0,9.98,0,2,0
B01D0MWU5C,"P&J Trading Fragrance Oil | Candy Cane Oil 30ml - Candle Scents for Candle Making, Freshie Scents, Soap Making Supplies, Diffuser Oil Scents",FR30CDYFBA,79,90,0.9655,7,0,62.93,0,7,0
B01DMPILKK,"P&J Trading - Caramel Corn Scented Oil 30ml - Fragrance Oil for Candle Making, Soap Making, Diffuser Oil",FR30CARSL,110,122,0.9587,11,0,98.89,0,11,0
B01DMQ4M0W,"P&J Trading - Cotton Candy Scented Oil 30ml - Fragrance Oil for Candle Making, Soap Making, Diffuser Oil",FR30CTTFBA,825,1053,0.9848,219,14,1966.29,123.34,213,12
B01DMQEF0E,"P&J Trading Fragrance Oil | French Vanilla Oil 30ml - Candle Scents for Candle Making, Freshie Scents, Soap Making Supplies, Diffuser Oil Scents",FR30FVAFBA,232,286,0.9964,63,0,547.3,0,58,0
B01DMR7TG0,"P&J Trading - Orchid Scented Oil 30ml - Fragrance Oil for Candle Making, Diffuser, Soap, Perfume, Bath & Body",R30OCHSL,21,24,0.9091,9,1,80.73,8.81,9,1
B01DMRH2QW,"P&J Trading - Root Beer Scented Oil 30ml - Fragrance Oil for Candle Making, Soap Making, Diffuser Oil",FR30ROO,68,84,1,1,0,8.99,0,1,0
B01DMRH2QW,"P&J Trading - Root Beer Scented Oil 30ml - Fragrance Oil for Candle Making, Soap Making, Diffuser Oil",FR30ROOSL,68,84,1,21,0,188.79,0,21,0
B01DMRPRNM,"P&J Trading Fragrance | Smores Oil 30ml - Candle Scents for Candle Making, Freshie Scent, Soap Making Supplies, Diffuser Oil Scents",FR30SMOSL,64,71,0.9851,21,0,188.79,0,21,0
B01F7MDJ0I,"P&J Trading Fragrance Oil | Grapefruit Oil 100ml - Candle Scents for Candle Making, Freshie Scents, Soap Making Supplies, Diffuser Oil Scents",FR100GRAFBA,195,249,1,49,1,928.17,18.57,42,1
B01F7MDJ26,"P&J Trading - Almond Scented Oil 100ml - Fragrance Oil for Candle Making, Soap Making, Diffuser Oils",FR100ALMFBA,224,294,1,67,0,1250.7,0,63,0
B01F7MDK3E,"P&J Trading Fragrance Oil | Harvest Spice Oil 100ml - Candle Scents for Candle Making, Freshie Scents, Soap Making Supplies, Diffuser Oil Scents",FR100HASFBA,210,263,0.9872,47,1,851.44,18.57,46,1
B01F7MDKGQ,"P&J Trading Fragrance Oil | Amber Oil 100ml - Candle Scents for Candle Making, Freshie Scents, Soap Making Supplies, Diffuser Oil Scents",FR100AME,1786,2169,0.9657,1,0,18.95,0,1,0
B01F7MDKGQ,"P&J Trading Fragrance Oil | Amber Oil 100ml - Candle Scents for Candle Making, Freshie Scents, Soap Making Supplies, Diffuser Oil Scents",FR100AMEFBA,1786,2169,0.9657,347,18,6480,329.72,319,18
B01F7MDLEM,"P&J Trading - Ambrosia Scented Oil 100ml - Fragrance Oil for Candle Making, Soap Making, Diffuser Oil",FR100AMBFBA,62,70,1,6,2,112.94,37.14,5,1
B01F7MDLZQ,"P&J Trading Fragrance Oil | Jasmine Oil 100ml - Candle Scents for Candle Making, Freshie Scents, Soap Making Supplies, Diffuser Oil Scents",FR100JASFBA,520,669,0.9952,174,7,3213.59,127.53,165,7
B01F7MDMCI,"P&J Fragrance Oil | Apple Oil 100ml - Candle Scents for Candle Making, Freshie Scents, Soap Making Supplies, Diffuser Oil Scents",FR100APPFBA,507,576,0.9909,84,7,1574.42,126.63,77,2
B01F7MDMXM,"P&J Trading Fragrance Oil | Lavender Oil 100ml - Candle Scents for Candle Making, Freshie Scents, Soap Making Supplies, Diffuser Oil Scents",FR100LAVFBA,633,795,1,209,12,3872,220.38,198,12
B01F7MDNHC,"P&J Trading - Apple Cider Scented Oil 100ml - Fragrance Oil for Candle Making, Soap Making, Diffuser Oil",FR100APCFBA,365,426,0.9853,50,1,938.6,18.57,45,1
B01F7MDNV8,"P&J Trading Fragrance Oil | Lemon Oil 100ml - Candle Scents for Candle Making, Freshie Scents, Soap Making Supplies, Diffuser Oil Scents",FR100LEMFBA,492,627,0.9966,179,10,3339.97,185.7,161,10
B01F7MDOEO,"P&J Trading - Apricot Scented Oil 100ml - Fragrance Oil for Candle Making, Soap Making, Diffuser Oil",FR100APRFBA,29,32,0.9355,4,0,75.8,0,3,0
B01F7MDPA2,"P&J Trading Fragrance Oil | Lily Oil 100ml - Candle Scents for Candle Making, Freshie Scents, Soap Making Supplies, Diffuser Oil Scents",FR100LIYFBA,151,179,1,37,0,701.15,0,18,0
B01F7MDPCK,"P&J Trading Fragrance Oil | Awapuhi & Seaberry Oil 100ml - Candle Scents for Candle Making, Freshie Scents, Soap Making Supplies, Diffuser Oil Scents",FR100AWS,39,50,1,1,0,0,0,1,0
B01F7MDPCK,"P&J Trading Fragrance Oil | Awapuhi & Seaberry Oil 100ml - Candle Scents for Candle Making, Freshie Scents, Soap Making Supplies, Diffuser Oil Scents",FR100AWSFBA,39,50,1,6,0,113.7,0,5,0
B01F7MDQ24,"P&J Trading Fragrance Oil | Mango Oil 100ml - Candle Scents for Candle Making, Freshie Scents, Soap Making Supplies, Diffuser Oil Scents",FR100MANFBA,186,234,0.9955,97,25,1726.8,412.59,71,6
B01F7MDQ56,"P&J Trading Fragrance Oil | Azalea Oil 100ml - Candle Scents for Candle Making, Freshie Scents, Soap Making Supplies, Diffuser Oil Scents",FR100AZAFBA,88,102,0.9898,5,0,75.8,0,5,0
B01F7MDQUG,"P&J Trading Fragrance Oil | Ocean Breeze Oil 100ml - Candle Scents for Candle Making, Freshie Scents, Soap Making Supplies, Diffuser Oil Scents",FR100OCB,911,1196,1,1,0,18.95,0,1,0
B01F7MDQUG,"P&J Trading Fragrance Oil | Ocean Breeze Oil 100ml - Candle Scents for Candle Making, Freshie Scents, Soap Making Supplies, Diffuser Oil Scents",FR100OCBFBA,911,1196,1,245,13,4517.83,241.79,217,12
B01F7MDQW4,"P&J Trading - Bamboo Scented Oil 100ml - Fragrance Oil for Candle Making, Soap Making, Diffuser Oil",FR100BAMFBA,551,682,0.9923,195,9,3610.23,162.21,173,9
B01F7MDRMS,"P&J Trading Fragrance Oil | Orange Oil 100ml - Candle Scents for Candle Making, Freshie Scents, Soap Making Supplies, Diffuser Oil Scents",FR100ORAFBA,267,318,1,82,4,1529.66,74.28,80,4
B01F7MDRQO,"P&J Trading - Banana Scented Oil 100ml - Fragrance Oil for Candle Making, Soap Making, Diffuser Oil",FR100BANFBA,447,525,0.992,42,0,765.59,0,41,0
B01F7MDS9K,"P&J Trading - Orchid Scented Oil 100ml - Fragrance Oil for Candle Making, Soap Making, Diffuser Oil",FR100OCHFBA,176,222,1,36,5,663.26,92.85,34,3
B01F7MDT26,"P&J Trading Passion Fruit Fragrance Oil, 100ml - Essential Oil for Candle Making, Diffuser, Soap, Perfume, Bath & Body",FR100PAFFBA,166,211,1,42,6,793.62,111.42,38,5
B01F7MDT76,"P&J Fragrance Oil | Bay Rum Oil 100ml - Candle for Candle Making, Freshie Scents, Soap Making Supplies, Diffuser Oil Scents",FR100BARFBA,441,506,0.9877,88,6,1639.76,111.42,85,6
B01F7MDTVM,"P&J Trading Fragrance Oil | Patchouli Oil 100ml - Candle Scents for Candle Making, Freshie Scents, Soap Making Supplies, Diffuser Oil Scents",FR100PATFBA,89,102,1,24,1,454.42,18.57,24,1
B01F7MDU4I,"P&J Trading Fragrance Oil | Blueberry Oil 100ml - Candle Scents for Candle Making, Freshie Scents, Soap Making Supplies, Diffuser Oil Scents",FR100BLUFBA,325,406,0.9922,53,5,966.46,92.85,53,5
B01F7MDUM0,"P&J Fragrance Oil | Peach Oil 100ml - Candle Scents for Candle Making, Freshie Scent, Soap Making Supplies, Diffuser Oil Scents",FR100PECFBA,224,274,1,77,3,1436.05,53.63,69,3
B01F7MDUT8,"P&J Trading - Brown Sugar Scented Oil 100ml - Fragrance Oil for Candle Making, Soap Making, Diffuser Oil",FR100BRSFBA,594,683,0.9985,110,5,2012.91,90.39,105,5
B01F7MDVD8,"P&J Fragrance Oil | Pear Oil 100ml - Candle Scents for Candle Making, Freshie Scents, Soap Making Supplies, Diffuser Oil Scents",FR100PEAFBA,75,86,1,34,3,643.16,55.71,32,3
B01F7MDVPQ,"P&J Trading - Bubble Gum Scented Oil 100ml - Fragrance Oil for Candle Making, Soap Making, Diffuser Oil",FR100BUGFBA,388,454,0.9842,67,7,1239.52,129.99,60,6
B01F7MDW3C,"P&J Fragrance Oil | Peppermint Oil 100ml - Candle Scents for Candle Making, Freshie Scents, Soap Making Supplies, Diffuser Oil Scents",FR100PEP,77,96,0.9885,21,2,397.19,37.14,21,2
B01F7MDWB4,"P&J Trading - Candy Cane Scented Oil 100ml - Fragrance Oil for Candle Making, Soap Making, Diffuser Oil",FR100CDYFBA,114,126,0.9839,10,0,186.66,0,10,0
B01F7MDWNC,"P&J Fragrance Oil - Pina Colada Scented Candle Making Oil, 100ml",FR100PICFFBA,368,452,0.9976,100,13,1853,235.59,91,7
B01F7MDWYG,"P&J Trading - Candy Corn Scented Oil 100ml - Fragrance Oil for Candle Making, Soap Making, Diffuser Oil",FR100CACFBA,67,86,1,6,2,112.94,37.14,6,2
B01F7MDXCW,"P&J Fragrance Oil | Pineapple Oil 100ml - Candle Scents for Candle Making, Freshie Scent, Soap Making Supplies, Diffuser Oil Scents",FR100PINFBA,240,321,1,101,18,1843.48,329.34,83,11
B01F7MDXP4,"P&J Trading - Caramel Corn Scented Oil 100ml - Fragrance Oil for Candle Making, Soap Making, Diffuser Oil",FR100CARFBA,105,146,0.9852,41,23,764.85,423.75,23,6
B01F7MDXZY,"P&J Trading Fragrance Oil | Plumeria Oil 100ml - Candle Scents for Candle Making, Freshie Scents, Soap Making Supplies, Diffuser Oil Scents",FR100PLU,535,701,0.9985,3,0,56.85,0,3,0
B01F7MDXZY,"P&J Trading Fragrance Oil | Plumeria Oil 100ml - Candle Scents for Candle Making, Freshie Scents, Soap Making Supplies, Diffuser Oil Scents",FR100PLUFBA,535,701,0.9985,154,17,2852.06,312.71,130,10
B01F7MDYGM,"P&J Trading - Chocolate Mint Scented Oil 100ml - Fragrance Oil for Candle Making, Soap Making, Diffuser Oil",FR100CHMFBA,52,67,0.9683,9,0,170.55,0,9,0
B01F7MDYL2,"P&J Trading Fragrance Oil | Pomegranate Oil 100ml - Candle Scents for Candle Making, Freshie Scents, Soap Making Supplies, Diffuser Oil Scents",FR100POMFBA,215,264,0.9959,74,9,1379,167.13,64,4
B01F7MDZ34,"P&J Trading - Christmas Wreath Scented Oil 100ml - Fragrance Oil for Candle Making, Soap Making, Diffuser Oil",FR100CHWFBA,193,214,0.9904,44,0,796.88,0,41,0
B01F7MDZ66,"P&J Fragrance Oil Pumpkin Pie 100ml - Candle Scents, Soap Scents, Diffuser Oil Scents",FR100PUP,202,257,0.9914,1,0,18.95,0,1,0
B01F7MDZ66,"P&J Fragrance Oil Pumpkin Pie 100ml - Candle Scents, Soap Scents, Diffuser Oil Scents",FR100PUPFBA,202,257,0.9914,67,2,1240.87,37.52,65,2
B01F7MDZPW,"P&J Trading - Cinnamon Scented Oil 100ml - Fragrance Oil for Candle Making, Soap Making, Diffuser Oil",FR100CINFBA,400,480,0.9892,112,3,2071.07,55.71,105,3
B01F7MDZTI,"P&J Trading - Rain Scented Oil 100ml - Fragrance Oil for Candle Making, Soap Making, Diffuser Oil",FR100RAIFBA,562,692,0.9892,115,6,2113.34,109.34,105,6
B01F7ME09M,"P&J Trading Fragrance Oil | Coconut Oil 100ml - Candle Scents for Candle Making, Freshie Scents, Soap Making Supplies, Diffuser Oil Scents",FR100COCFBA,591,717,0.9957,179,13,3355.87,241.41,162,10
B01F7ME0GA,"P&J Trading - Root Beer Scented Oil 100ml - Fragrance Oil for Candle Making, Soap Making, Diffuser Oil",FR100ROOFBA,50,52,1,24,0,443.44,0,20,0
B01F7ME0YW,"P&J Trading - Coffee Cake Scented Oil 100ml - Fragrance Oil for Candle Making, Soap Making, Diffuser Oil",FR100COFFBA,79,99,0.989,15,0,284.25,0,15,0
B01F7ME14Q,"P&J Fragrance Oil - Rose 100ml - Candle Scents, Soap Scents, Diffuser Oil, Aromatherapy",FR100ROSFBA,1049,1381,0.9808,322,21,6090.96,389.97,290,20
B01F7ME1KU,P&J Fragrance Oil - Cotton Candy Scented Candle 100ml,FR100CTTFBA,518,668,0.9984,139,19,2592.75,352.83,122,16
B01F7ME1L4,"P&J Fragrance Oil - Sandalwood 100ml - Candle Scents, Soap Making, Diffuser Oil, Body Care",FR100SANFBA,981,1237,0.9907,298,15,5556.58,276.09,262,14
B01F7ME1VO,"P&J Trading Fragrance Oil | Cranberry Oil 100ml - Candle Scents for Candle Making, Freshie Scents, Soap Making Supplies, Diffuser Oil Scents",FR100CRAFBA,174,195,0.9948,34,3,626.12,55.71,29,3
B01F7ME1X2,"P&J Fragrance Oil - Smores Oil 100ml - Candle Scents, Soap Making, Diffuser Oil, Essential Oil",FR100SMO,178,219,1,1,0,18.95,0,1,0
B01F7ME1X2,"P&J Fragrance Oil - Smores Oil 100ml - Candle Scents, Soap Making, Diffuser Oil, Essential Oil",FR100SMOFBA,178,219,1,21,1,378.62,18.57,19,1
B01F7ME2FY,"P&J Trading - Cucumber Melon Scented Oil 100ml - Fragrance Oil for Candle Making, Soap Making, Diffuser Oil",FR100CCMFBA,283,362,1,108,8,2001.34,148.94,100,8
B01F7ME2IQ,"P&J Fragrance Oil Snickerdoodle 100ml - Candle Scents, Soap Making, Diffuser Oil, Fresh Scents",FR100SNI,132,162,1,1,0,18.95,0,1,0
B01F7ME2IQ,"P&J Fragrance Oil Snickerdoodle 100ml - Candle Scents, Soap Making, Diffuser Oil, Fresh Scents",FR100SNIFBA,132,162,1,39,0,697.38,0,37,0
B01F7ME2WW,"P&J Trading Fragrance Oil | Strawberry Oil 100ml - Candle Scents for Candle Making, Freshie Scents, Soap Making Supplies, Diffuser Oil Scents",FR100STRFBA,428,557,0.9961,113,8,2046.83,148.94,100,7
B01F7ME2X6,"P&J Fragrance Oil - Cupcake Scent, 100ml",FR100CUPFBA,221,271,0.996,39,1,730.15,18.57,34,1
B01F7ME3F8,"P&J Fragrance Oil - Sugar Cookie Scent, 100ml",FR100SUG,398,505,0.9936,1,0,18.95,0,1,0
B01F7ME3F8,"P&J Fragrance Oil - Sugar Cookie Scent, 100ml",FR100SUGFBA,398,505,0.9936,103,8,1912.27,148.94,93,5
B01F7ME3FI,"P&J Fragrance Oil - Eucalyptus Scented Candles, Soaps, Diffusers, and More - 100ml",FR100EUCFBA,265,319,0.9966,70,4,1324.98,74.28,68,4
B01F7ME3W6,"P&J Trading Fragrance Oil | Sweet Pea Oil 100ml - Candle Scents for Candle Making, Freshie Scents, Soap Making Supplies, Diffuser Oil Scents",FR100SWPFBA,268,331,1,89,5,1631.62,92.85,82,4
B01F7ME3XU,"P&J Trading - Forest Pine Scented Oil 100ml - Fragrance Oil for Candle Making, Soap Making, Diffuser Oil",FR100FOPFBA,834,1001,0.9958,217,12,4039.43,222.84,205,12
B01F7ME4EI,"P&J Fragrance Oil - Vanilla 100ml - Candle Scents, Soap Making, Diffuser Oil, Fresh Scents",FR100VANFBA,1016,1290,0.9992,295,22,5481.34,403.62,258,22
B01F7ME4FM,"P&J Trading Fragrance Oil | Freesia Oil 100ml - Candle Scents for Candle Making, Freshie Scents, Soap Making Supplies, Diffuser Oil Scents",FR100FREFBA,50,58,0.9821,20,3,379,56.85,20,3
B01F7ME4UW,"P&J Fragrance Oil - Violet Scent 100ml - Candle Scents, Soap Making, Diffuser Oil, Fresh Scents",FR100VIOFBA,94,123,0.9833,25,3,472.61,55.71,24,3
B01F7ME4WU,"P&J Trading Fragrance Oil | French Vanilla Oil 100ml - Candle Scents for Candle Making, Freshie Scents, Soap Making Supplies, Diffuser Oil Scents",FR100FVAFBA,272,321,0.9873,80,5,1494.6,90.39,63,5
B01F7ME58I,"P&J Trading - Winter Mint Scented Oil 100ml - Fragrance Oil for Candle Making, Soap Making, Diffuser Oil",FR100WIMFBA,72,88,0.988,14,1,262.08,18.57,13,1
B01F7ME5CO,"P&J Trading - Fresh Cotton Scented Oil 100ml - Fragrance Oil for Candle Making, Soap Making, Diffuser Oil",FR100FRCFBA,1726,2278,0.9933,549,10,10323.56,184.56,524,9
B01F7ME5YC,"P&J Trading Fragrance Oil | Ylang Ylang Oil 100ml - Candle Scents for Candle Making, Freshie Scents, Soap Making Supplies, Diffuser Oil Scents",FR100YLYFBA,95,106,0.98,32,6,604.12,111.42,26,3
B01F7ME61E,"P&J Trading - Fresh Cut Grass Scented Oil 100ml - Fragrance Oil for Candle Making, Soap Making, Diffuser Oil",FR100FCGFBA,372,456,0.9885,116,4,2177.73,74.28,110,3
B01F7ME6LE,"P&J Fragrance Oil Gardenia 100ml - Candle Scents, Soap Making, Diffuser Oil, Fresh Scent",FR100GARFBA,343,425,0.995,121,4,2219.45,74.28,102,4
B01F7ME768,"P&J Fragrance Oil - Gingerbread Scent, 100ml",FR100GINFBA,88,103,1,18,3,337.12,55.71,16,3
B01F7QX27E,"P&J Fragrance Oil - Lilac Oil 100ml - Candle Scents, Soap Making, Diffuser Oil, Fresh Scents",FR100LIL,597,787,0.9973,1,0,18.95,0,1,0
B01F7QX27E,"P&J Fragrance Oil - Lilac Oil 100ml - Candle Scents, Soap Making, Diffuser Oil, Fresh Scents",FR100LILFBA,597,787,0.9973,263,19,4879.12,356.63,229,8
B01L2GGBRQ,P&J Trading Fragrance Oil for Diffusers for Home - Orangesicle 10ml Fragrance Scents for Candle Making - Soap Making Supplies & Car Diffuser Scents,FR10OGC,18,20,1,6,0,29.94,0,6,0
B01LTEZ4T2,P&J Trading Fragrance Oil for Diffusers for Home - Berries & Cream 10ml Fragrance Scents for Candle Making - Soap Making Supplies & Car Diffuser Scents,FR10BCR,65,83,1,21,0,104.79,0,9,0
B01LWQ0X0N,"P&J Trading - Coconut Cream Pie Scented Oil 30ml - Fragrance Oil for Candle Making, Soap Making, Diffuser Oil",FR30CCRSL,32,33,1,15,1,134.67,8.81,15,1
B01LX1OWVG,"P&J Trading - Mistletoe Scented Oil 30ml - Fragrance Oil for Candle Making, Soap Making, Diffuser Oil",FR30MISSL,65,78,1,17,0,152.83,0,17,0
B01LXJDK7Q,P&J Trading Fragrance Oil for Diffusers for Home - Green Tea 10ml Fragrance Scents for Candle Making - Soap Making Supplies & Car Diffuser Scents,FR10GTE,26,37,1,5,0,24.95,0,5,0
B01LXO82DN,"P&J Trading Fragrance Oil | Berries & Cream Oil 30ml - Candle Scents for Candle Making, Freshie Scents, Soap Making Supplies, Diffuser Oil Scents",FR30BCRSL,347,398,0.9948,47,1,422.35,8.81,47,1
B01LXV4H43,P&J Trading Fragrance Oil for Diffusers for Home - Mistletoe 10ml Fragrance Scents for Candle Making - Soap Making Supplies & Car Diffuser Scents,FR10MIS,17,20,1,2,0,9.98,0,2,0
B01LXV4OE4,P&J Trading Fragrance Oil for Diffusers for Home - Peaches & Cream 10ml Fragrance Scents for Candle Making - Soap Making Supplies & Car Diffuser Scents,FR10PCR,37,44,1,10,1,49.8,4.89,10,1
B01LY0WASP,"P&J Trading - Peaches & Cream Scented Oil 30ml - Fragrance Oil for Candle Making, Soap Making, Diffuser Oil",FR30PCRSL,106,130,0.9921,25,1,224.57,8.81,25,1
B01LZAQK4V,"P&J Trading - Green Tea Scented Oil 30ml - Fragrance Oil for Candle Making, Soap Making, Diffuser Oil",FR30GTEFBA,255,345,0.9934,108,0,970.92,0,107,0
B01M054MKO,P&J Trading Fragrance Oil for Diffusers for Home - Autumn Wreath 10ml Fragrance Scents for Candle Making - Soap Making Supplies & Car Diffuser Scents,FR10AUW,21,26,1,4,0,19.96,0,4,0
B01M0JO5CA,P&J Trading Fragrance Oil for Diffusers for Home - Coconut Cream Pie 10ml Fragrance Scents for Candle Making - Soap Making Supplies & Car Diffuser Scents,FR10CCR,33,44,0.9722,4,0,19.96,0,4,0
B01M193921,"P&J Fragrance Oil - Orange Sicle Oil 30ml - Candle Scents, Soap Scents, Diffuser Oil, Fresh Scents",FR30OGCSL,94,112,1,34,1,305.48,8.81,32,1
B01M1LQVZR,P&J Fragrance Oil Autumn Wreath Scented Candle 30ml,FR30AUWSL,35,37,1,5,0,44.95,0,5,0
B01M26S6HF,"P&J Trading - Mistletoe Scented Oil 100ml - Fragrance Oil for Candle Making, Soap Making, Diffuser Oil",FR100MISFBA,77,87,1,8,0,151.6,0,8,0
B01M4LCGUT,"P&J Trading - Autumn Wreath Scented Oil 100ml - Fragrance Oil for Candle Making, Soap Making, Diffuser Oil",FR100AUWFBA,144,173,0.9937,33,4,623.83,74.28,31,4
B01M668O71,"P&J Fragrance Oil | Orangesicle Oil 100ml - Candle Scents for Candle Making, Freshie Scent, Soap Making Supplies, Diffuser Oil Scents",FR100OGCFBA,131,170,1,32,5,593.52,90.39,32,5
B01M8GPOI3,"P&J Fragrance Oil - Green Tea 100ml - Candle Scents, Soap Scents, Diffuser Oil, Fresh Scents",FR100GTEFBA,209,260,0.9875,80,11,1492.87,204.27,74,8
B01MA28QQX,"P&J Trading Fragrance Oil | Berries & Cream Oil 100ml - Candle Scents for Candle Making, Freshie Scents, Soap Making Supplies, Diffuser Oil Scents",FR100BCRFBA,409,443,1,50,9,923.68,163.77,44,4
B01MAZCGKQ,"P&J Fragrance Oil - Peaches & Cream Scented Candle, 100ml",FR100PCRFBA,191,244,0.9955,49,4,918.89,71.82,45,4
