(Child) ASIN,Title,SKU,Sessions - Total,Page Views - Total,Featured Offer (Buy Box) Percentage,Units Ordered,Units Ordered - B2B,Ordered Product Sales,Ordered Product Sales - B2B,Total Order Items,Total Order Items - B2B
B00BVX5T2Y,"P&J Trading Fragrance Oil | Mango Oil 30ml - Candle Scents for Candle Making, Freshie Scents, Soap Making Supplies, Diffuser Oil Scents",FR30MANSL,277,357,0.994,98,4,880.3,35.24,96,4
B00BVX5TI8,"P&J Trading Fragrance Oil | Peach Oil 30ml - Candle Scents for Candle Making, Freshie Scents, Soap Making Supplies, Diffuser Oil Scents",FR30PECFBA,277,340,0.988,139,14,1239.99,116.24,118,5
B00BVX5TXS,"P&J Trading - Pineapple Scented Oil 30ml - Fragrance Oil for Candle Making, Soap Making, Diffuser Oil",FR30PINFBA,199,261,0.9836,83,9,728.08,62.82,82,9
B00BVX5UGY,"P&J Trading Fragrance Oil | Orange Oil 30ml - Candle Scents for Candle Making, Freshie Scents, Soap Making Supplies, Diffuser Oil Scents",FR30ORASL,144,183,0.9944,70,6,628.22,52.86,70,6
B00BVX5UHI,"P&J Fragrance Oil | Brown Sugar Oil 30ml - Candle Scents for Candle Making, Freshie, Soap Making Supplies, Diffuser Oil Scents",FR30BRSSL,570,693,0.9939,150,3,1338.97,26.43,149,3
B00BVX5V0O,"P&J Fragrance Oil | Peppermint Oil 30ml - Candle Scents for Candle Making, Freshie Scents, Soap Making Supplies, Diffuser Oil Scents",FR30PEPSL,56,64,0.9677,25,2,220.73,13.96,25,2
B00BVX5VLI,"P&J Fragrance Oil | Forest Pine Oil 30ml - Candle Scents for Candle Making, Freshie Scent, Soap Making Supplies, Diffuser Oil Scents",FR30FOPSL,273,346,0.9938,99,3,884.43,26.43,95,3
B00BVX5VOA,"P&J Trading Fragrance Oil | Rain Oil 30ml - Candle Scents for Candle Making, Freshie Scents, Soap Making Supplies, Diffuser Oil Scents",FR30RAIFBA,228,281,0.9891,82,5,736.28,44.05,79,5
B00BVX5W80,"P&J Trading - Snickerdoodle Scented Oil 30ml - Fragrance Oil for Candle Making, Soap Making, Diffuser Oil",FR30SNISL,46,59,0.9828,8,0,71.92,0,7,0
B00BVX5XBG,"P&J Trading Fragrance Oil | Awapuhi & Seaberry Oil 30ml - Candle Scents for Candle Making, Freshie Scents, Soap Making Supplies, Diffuser Oil Scents",FR30AWSSL,55,58,1,16,0,143.84,0,16,0
